Fecha: 2024-05-30 15:05:03.660049, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:39.902615, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:53.668336, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 15:05:53.714658, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 15:05:53.757873, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 15:05:53.786190, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 15:05:56.839266, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:05:59.841574, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:06:02.843935, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:06:02.963151, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:06:02.970158, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:06:05.788960, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:06:05.795028, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:06:05.968109, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:06:08.882214, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:06:08.999094, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 15:06:13.651467, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 15:06:13.662639, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 15:06:18.730606, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:08:35.772569, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:08:35.779665, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:08:35.788635, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:08:35.821336, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:08:35.835194, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:08:35.855182, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:08:35.893066, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:08:35.955785, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 16:08:41.038115, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:08:41.044279, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:08:41.063579, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:08:41.069818, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:08:44.756204, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:08:47.904573, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:08:47.974378, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:08:47.980563, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:08:50.875368, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:08:50.879170, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:08:53.912227, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:08:53.990156, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:09:12.656256, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:09:13.072522, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:09:13.090375, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:09:13.096387, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:09:13.103936, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:09:15.875068, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:09:15.919617, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:09:15.927018, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:09:15.938895, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:56:15.522406, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:56:15.539377, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:56:15.545338, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:56:15.550879, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:56:15.558824, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:56:15.566143, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:56:20.840285, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:56:20.845827, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:56:27.519281, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:56:27.555600, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:56:27.562887, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:56:27.636831, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:56:27.639151, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:56:35.521021, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:56:35.533908, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:56:35.542442, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:56:35.556932, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:56:35.570216, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:56:45.736197, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:56:45.778243, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:56:45.812409, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:56:45.819506, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:56:45.916887, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:56:45.930133, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:56:46.039487, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:56:51.651655, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:56:54.685322, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:56:54.686917, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:56:54.788418, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:56:55.528676, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:56:55.554734, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:56:55.563762, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:56:55.645347, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 16:57:00.805120, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:00.831956, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:03.670055, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:06.714713, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:12.861286, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:12.867670, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:12.874224, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:20.599125, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:57:20.603898, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:57:20.631744, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:57:20.762767, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: El valor de humedad es inferior al minimo permitido, Origen del sensor: Humedad, Tipo de alerta: Alta
Fecha: 2024-05-30 16:57:25.855255, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:25.937260, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:25.963749, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:26.081963, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:26.081963, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:26.088807, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:27.864012, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:27.870808, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:27.963960, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:27.963960, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:30.887392, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:30.982005, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:33.902504, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:33.908677, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:35.597459, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:57:35.604429, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:57:35.611799, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:57:35.618200, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:57:35.716264, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 16:57:36.996029, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:40.012455, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:42.853061, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:42.861831, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:46.024454, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:48.966176, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:48.970786, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:49.061204, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:52.059753, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:52.063411, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:54.947062, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:55.020171, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:55.026603, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:57:55.067597, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:59:55.310853, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:59:55.348748, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:59:55.356854, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 16:59:55.388737, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:59:55.397563, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 16:59:55.479153, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 16:59:55.501681, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 16:59:55.559294, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 16:59:55.565076, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 16:59:58.335723, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:00:01.398651, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:00:04.390959, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:00:04.390959, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:00:04.406478, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:00:04.542632, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:00:07.419297, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:04:41.512985, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:04:41.569466, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:04:41.585306, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:04:41.591636, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:04:41.622292, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:04:46.754984, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:04:47.527307, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:04:53.598618, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:04:53.791165, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:04:56.724517, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:01.630884, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:05:06.667539, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:05:06.746883, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:05:11.903711, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:11.910884, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:11.917412, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:11.938270, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:12.007833, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:12.013664, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:12.091011, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:12.128712, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:12.195080, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:12.234574, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:12.236793, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:14.675484, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:14.691231, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:14.910927, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:17.723915, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:17.730736, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:17.743859, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:20.732983, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:20.756310, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:20.806422, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:20.941310, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:21.606938, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:05:21.660149, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:05:21.741734, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:05:32.053178, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:05:32.087729, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:04.355995, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:04.487822, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:18:09.744253, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:10.423336, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:10.537142, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:16.433540, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:16.443681, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:16.453158, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:16.508840, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:19.595189, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:29.490762, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:18:29.510192, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:18:29.515121, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:18:29.521135, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:18:29.613905, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:18:34.665621, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:18:34.673027, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:18:34.691403, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:34.705750, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:34.779292, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:34.946410, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:34.980610, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:35.004526, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:35.015319, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:35.053658, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:35.057577, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:35.077832, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:40.542090, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:40.546134, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:40.556433, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:40.698067, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:43.627332, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:43.633662, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:43.720327, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:44.487022, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:18:44.524064, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:18:54.667621, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:18:54.672621, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:18:54.695846, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:18:54.716917, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:54.807958, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:54.827853, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:54.859812, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:55.633866, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
